v_cp	max_depth	min_split	minbucket	ganancia_promedio
-2	4	1000	1	9296000
-2	4	1000	2	9574667
-2	4	1000	3	9600000
-2	4	1000	4	9627333
-2	4	1000	5	9623333
-2	4	1000	100	9700667
-2	4	1000	200	9764000
-2	4	1000	333	9956000
-2	4	1000	500	9956000
-2	4	800	1	9296000
-2	4	800	2	9574667
-2	4	800	3	9600000
-2	4	800	4	9627333
-2	4	800	5	9623333
-2	4	800	80	9220667
-2	4	800	160	9559333
-2	4	800	266	9752667
-2	4	800	400	9938000
-2	4	600	1	9296000
-2	4	600	2	9574667
-2	4	600	3	9600000
-2	4	600	4	9616000
-2	4	600	5	9612000
-2	4	600	60	9186000
-2	4	600	120	9608000
-2	4	600	200	9695333
-2	4	600	300	9938667
-2	4	400	1	9294667
-2	4	400	2	9572667
-2	4	400	3	9597333
-2	4	400	4	9613333
-2	4	400	5	9608000
-2	4	400	40	9128000
-2	4	400	80	9158000
-2	4	400	133	9543333
-2	4	400	200	9632667
-2	4	200	1	9294667
-2	4	200	2	9572667
-2	4	200	3	9597333
-2	4	200	4	9613333
-2	4	200	5	9608000
-2	4	200	20	9503333
-2	4	200	40	9128000
-2	4	200	66	9122667
-2	4	200	100	9569333
-2	4	100	1	9294667
-2	4	100	2	9572667
-2	4	100	3	9597333
-2	4	100	4	9613333
-2	4	100	5	9608000
-2	4	100	10	9350667
-2	4	100	20	9503333
-2	4	100	33	9130000
-2	4	100	50	9138000
-2	4	50	1	9294667
-2	4	50	2	9572667
-2	4	50	3	9597333
-2	4	50	4	9613333
-2	4	50	5	9608000
-2	4	50	10	9350667
-2	4	50	16	9483333
-2	4	50	25	9336667
-2	4	20	1	9294667
-2	4	20	2	9572667
-2	4	20	3	9597333
-2	4	20	4	9613333
-2	4	20	5	9608000
-2	4	20	6	9452667
-2	4	20	10	9313333
-2	4	10	1	9296667
-2	4	10	2	9574667
-2	4	10	3	9599333
-2	4	10	4	9613333
-2	4	10	5	9609333
-2	4	5	1	9296667
-2	4	5	2	9576667
-2	4	5	3	9599333
-2	4	5	4	9614667
-2	4	5	5	9609333
-2	4	5	0	9296667
-2	6	1000	1	9433333
-2	6	1000	2	10063333
-2	6	1000	3	10125333
-2	6	1000	4	10135333
-2	6	1000	5	10083333
-2	6	1000	100	10318000
-2	6	1000	200	10384000
-2	6	1000	333	10554000
-2	6	1000	500	10646000
-2	6	800	1	9433333
-2	6	800	2	10056667
-2	6	800	3	9998667
-2	6	800	4	10008667
-2	6	800	5	10005333
-2	6	800	80	9947333
-2	6	800	160	10246667
-2	6	800	266	10283333
-2	6	800	400	10574000
-2	6	600	1	9413333
-2	6	600	2	10033333
-2	6	600	3	9972667
-2	6	600	4	9995333
-2	6	600	5	9984000
-2	6	600	60	10069333
-2	6	600	120	10453333
-2	6	600	200	10659333
-2	6	600	300	10461333
-2	6	400	1	9412000
-2	6	400	2	10030667
-2	6	400	3	9968667
-2	6	400	4	9990667
-2	6	400	5	9977333
-2	6	400	40	9855333
-2	6	400	80	9647333
-2	6	400	133	10377333
-2	6	400	200	10629333
-2	6	200	1	9414667
-2	6	200	2	10033333
-2	6	200	3	9967333
-2	6	200	4	9989333
-2	6	200	5	9976000
-2	6	200	20	9768000
-2	6	200	40	9755333
-2	6	200	66	9747333
-2	6	200	100	9820000
-2	6	100	1	9413333
-2	6	100	2	10032000
