fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 100358	-0.37274936157919	3702	336	9	5	9966000	1
20220408 100508	-0.290878604694444	5783	1799	5	5	9351000	2
20220408 100653	-0.754672171999118	6485	978	9	5	9963000	3
20220408 100814	-0.617341359065904	3062	520	14	5	10718000	4
20220408 100931	-0.202137349593977	6975	446	10	5	8789000	5
20220408 101056	-0.869647825261927	5402	204	16	5	9818000	6
20220408 101124	-0.853419602196664	7988	1531	4	5	8226000	7
20220408 101218	-0.461772765386559	4114	1675	13	5	9713000	8
20220408 101250	0.069501576430048	4637	1429	20	5	0	9
20220408 101336	-0.442802410131844	2624	28	6	5	10101000	10
20220408 101438	-0.563410458499857	7412	868	19	5	8149000	11
20220408 101508	0.0951828689314427	6241	1984	16	5	0	12
20220408 101611	-0.253299408489838	2878	765	10	5	10512000	13
20220408 101722	-0.698746473351493	7821	902	11	5	8226000	14
20220408 101942	-0.924427271680906	215	15	17	5	6273000	15
20220408 102028	-0.539180994173512	3832	1550	3	5	8466000	16
20220408 102144	-0.746840673731893	3977	712	19	5	10344000	17
20220408 102257	-0.460028125796075	1494	629	19	5	10652000	18
20220408 102421	-0.298199940305223	812	405	12	5	10263000	19
20220408 102531	-0.756547577808207	4655	1	9	5	9642000	20
20220408 102653	-0.505825244555264	2465	455	16	5	10728000	21
20220408 102754	-0.428442029107063	2133	870	13	5	10844000	22
20220408 102922	-0.611750504659076	2118	1053	18	5	10659000	23
20220408 103058	-0.800651298047865	5274	2000	16	5	9017000	24
20220408 103221	-0.32361750557383	2410	1057	17	5	10413000	25
20220408 103409	-0.597837420908766	2689	595	20	5	10531000	26
20220408 103608	-0.477762037401149	1694	769	13	5	10501000	27
20220408 103802	-0.435033320005669	2393	526	16	5	10605000	28
20220408 103843	-0.280242734187886	2066	1023	3	5	9142000	29
20220408 104033	-0.524359611036564	2646	973	18	5	10587000	30
20220408 104314	-0.54741413476833	1940	1	17	5	10492000	31
20220408 104447	-0.679901242037745	2566	835	15	5	10710000	32
20220408 104557	-0.345453093320182	2376	1170	11	5	9926000	33
20220408 104726	-0.817595249243121	4132	978	11	5	10261000	34
20220408 104902	-0.251857681936933	1407	697	20	5	10861000	35
20220408 105204	-0.26092602850962	2144	4	20	5	1e+07	36
20220408 105353	-0.402136663167375	1769	880	19	5	10249000	37
20220408 105649	-0.283188623840477	4213	826	16	5	10283000	38
20220408 105827	-0.252680646088049	1826	912	16	5	10429000	39
20220408 105936	-0.444166258780862	3214	921	13	5	10724000	40
20220408 110041	-0.631439778384163	817	400	15	5	10284000	41
20220408 110127	-0.736756462421802	2849	1161	13	5	9709000	42
20220408 110228	-0.643674609129826	2334	692	17	5	10876000	43
20220408 110342	-0.661559284878053	4045	847	16	5	10344000	44
20220408 110449	-0.80629539230143	5928	701	16	5	9955000	45
20220408 110534	-0.427825360278886	5931	813	8	5	9955000	46
20220408 110629	-0.997857317246547	5451	883	8	5	9901000	47
20220408 110747	-0.286516540011309	1236	618	19	5	10737000	48
20220408 110859	-0.230921933325337	524	262	20	5	9193000	49
20220408 110922	-0.874981417587937	5179	624	3	5	9131000	50
20220408 111016	-0.626342281923207	2263	821	12	5	10937000	51
20220408 111113	-0.264942152618161	2409	686	20	5	10817000	52
20220408 111202	-0.940522802606876	5422	1043	20	5	9848000	53
20220408 111258	-0.312564066959254	2164	693	13	5	10684000	54
20220408 111353	-0.583140637659487	2201	441	13	5	10617000	55
20220408 111454	-0.999952215914758	7667	174	20	5	8125000	56
20220408 111547	-0.627117965737593	2281	836	15	5	10935000	57
20220408 111645	-0.999897389354308	3990	592	19	5	10334000	58
20220408 111730	-0.316041627689841	8000	873	5	5	8226000	59
20220408 111908	-0.633444082641671	2290	20	13	5	9716000	60
20220408 112001	-0.999954039691296	4011	1877	18	5	9267000	61
20220408 112152	-0.512876894229915	4607	2	17	5	9063000	62
20220408 112305	-0.542225447211748	1963	570	16	5	10631000	63
20220408 112441	-0.511543630475178	1314	211	20	5	10537000	64
20220408 112534	-0.640987016135688	2721	837	9	5	10531000	65
20220408 112644	-0.76968982425259	3978	504	12	5	10334000	66
20220408 112753	-0.311949632871977	3988	1989	20	5	9017000	67
20220408 112846	-0.260594068955448	4099	1	6	5	9503000	68
20220408 113027	-0.619211709171755	2287	724	14	5	10912000	69
20220408 113225	-0.99995686392111	3276	1009	16	5	10654000	70
20220408 113424	-0.448013329985675	2140	1057	19	5	10649000	71
20220408 113558	-0.293556703816777	1578	785	20	5	10446000	72
20220408 113749	-0.255929601366389	1995	600	17	5	10326000	73
20220408 113910	-0.439324871495717	6581	2000	12	5	9226000	74
20220408 114132	-0.44981191659011	1079	1	14	5	10123000	75
20220408 114315	-0.634171152031222	1352	676	19	5	10735000	76
20220408 114501	-0.959328626763696	3793	897	13	5	10355000	77
20220408 114702	-0.26300778426661	6006	1041	20	5	9988000	78
20220408 114852	-0.250841671711938	3005	968	20	5	10691000	79
20220408 115031	-0.999651726631583	2274	957	20	5	10969000	80
20220408 115149	-0.994144862422496	2954	893	20	5	10714000	81
20220408 115314	-0.999937999711021	2143	925	17	5	10750000	82
20220408 115445	-0.999614348724933	2244	1097	20	5	10388000	83
20220408 115614	-0.628273264196192	2279	937	13	5	11026000	84
20220408 115648	-0.999908502985453	6327	1999	3	5	8419000	85
20220408 115829	-0.281018100508244	5405	969	11	5	9868000	86
20220408 115905	-0.627905689846171	6628	1	3	5	8508000	87
20220408 120053	-0.850700666770017	2261	923	20	5	11022000	88
20220408 120214	-0.890488843270645	2275	938	19	5	11017000	89
20220408 120332	-0.869522354992038	2304	685	20	5	10918000	90
20220408 120444	-0.792912589016563	2256	913	19	5	11016000	91
20220408 120558	-0.821661667132912	2263	956	18	5	10969000	92
20220408 120713	-0.499309591006251	1032	515	9	5	10814000	93
20220408 120813	-0.999741634362516	7996	1983	20	5	8226000	94
20220408 120959	-0.492802958876589	2254	939	12	5	11017000	95
20220408 121233	-0.515161130697349	986	492	20	5	10753000	96
20220408 121411	-0.241834443450988	1318	655	10	5	10824000	97
20220408 121542	-0.927081157562121	2254	933	20	5	11024000	98
20220408 121718	-0.808277447901977	3306	397	19	5	10121000	99
20220408 121819	-0.999988303938597	6138	1	8	5	9712000	100
20220408 122005	-0.752485070816169	2250	939	19	5	10974000	101
20220408 122136	-0.456379213133781	2296	977	12	5	10986000	102
20220408 122306	-0.486482907570871	2338	655	11	5	10700000	103
