fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	force_row_wise	learning_rate	num_iterations	num_leaves	min_data_in_leaf	feature_fraction	ganancia	iteracion
20220414 101259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0231408981084158	1	21	4102	0.458435615761638	0	1
20220414 103844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0141025194327813	1	1454	53	0.449436913503866	0	2
20220414 103912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0247781049363714	1	9	1297	0.36422978757099	0	3
20220414 104704	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0176785095465103	1	736	134	0.567693810964036	0	4
20220414 104817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0169352374615015	1	52	2704	0.398965959082956	0	5
20220414 104907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0146226656445236	1	16	7339	0.540813796825075	0	6
20220414 104945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0192708698666788	1	49	953	0.471635016793152	0	7
20220414 110236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0129417582538112	1	867	77	0.504102032211709	0	8
20220414 115331	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0208574347379285	1	3034	20	0.425223763238007	0	9
20220414 120159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0242464715172537	1	2278	63	0.371786465485846	0	10
20220414 120245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0255039463000971	1	2	16383	0.595072429336142	0	11
20220414 120255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0200939132088596	1	7	2061	0.334064973664603	0	12
20220414 121524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0183927536050656	1	665	182	0.387568126106635	0	13
20220414 121559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0123133284094677	1	237	371	0.349281306727789	0	14
20220414 121657	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0219375435271234	1	140	786	0.503392261574377	0	15
20220414 121853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0272851661675876	1	68	95	0.43056677031231	0	16
20220414 133223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0269893820642028	1	5216	25	0.521052253251297	0	17
20220414 133255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0151985852021192	1	14	5450	0.463395607819049	0	18
20220414 133423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.022506339609889	1	49	425	0.569933653868169	0	19
20220414 145018	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0159395951975603	1	2962	36	0.305194611196306	0	20
20220414 151827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0113390419196471	1	3449	15	0.530380118195067	0	21
20220414 151906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0280295371364004	1	9	2924	0.318476239673328	0	22
20220414 151951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.029064438914481	1	18	8815	0.414824806212813	0	23
20220414 152129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0106317025346548	1	7	13873	0.482231151804029	0	24
20220414 154512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0199342938747057	1	2986	11	0.585762271117918	0	25
20220414 155214	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	TRUE	0.0299362834173787	1	607	223	0.547628763618247	0	26
