fecha	verbose	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220419 095050	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	69	TRUE	0.0964391877797399	0.438484994388585	2965	29	0.037592050932151	48.904769471015	31.9381641531696	9471000	1
20220419 095104	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	58	TRUE	0.168784292825647	0.509373326280287	4674	35	0.0252881019604891	24.8308220745197	50.9436123937901	11555000	2
20220419 095111	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	25	TRUE	0.15529017753342	0.876540345592158	5686	19	0.0280020817242552	41.6348021660399	18.1730520778469	10853000	3
20220419 095131	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	115	TRUE	0.0625099078072734	0.624592095373997	2745	23	0.0323338660571608	51.3065402944838	69.2299403108856	10545000	4
20220419 095138	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1	TRUE	0.178815246171434	0.758072669424915	2094	26	0.0407253116859162	84.1778959754655	37.5264738046099	0	5
20220419 095149	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	65	TRUE	0.119344187436675	0.660429962711143	6932	53	0.020943118709935	90.3482911043933	74.2934732365289	10602000	6
20220419 095205	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	35	TRUE	0.154421545882443	0.29868696496955	2316	16	0.017852771651884	85.8655823244979	32.2383944602084	10808000	7
20220419 095236	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	86	TRUE	0.0904504920452434	0.409399759223951	5173	21	0.0199354737770461	1.64371565666183	26.9218083604106	12832000	8
20220419 095304	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	198	TRUE	0.0788989592406766	0.706026961707643	7968	14	0.0268389009089636	32.1596864619226	96.3033108273521	11814000	9
20220419 095313	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1	TRUE	0.192920061656457	0.270666984448742	5892	51	0.0433879001428501	60.9006592721146	77.1593799373867	0	10
20220419 095326	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	10	TRUE	0.112699044958406	0.210804980953357	1859	41	0.0102180207259066	36.4859588103302	63.0720607961328	12091000	11
20220419 095343	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	79	TRUE	0.126513031126067	0.813628745651139	3535	33	0.016388306505299	31.9487654038572	45.8443879790138	11587000	12
20220419 095354	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1	TRUE	0.213073242163851	0.591510376693415	4436	7	0.0361280680010428	96.5650835664876	88.0501739730659	0	13
20220419 095417	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1	TRUE	0.0383619490329043	0.31832592503966	1693	2	0.0452246556502013	54.730813988551	41.0758580921018	0	14
20220419 095425	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	1	TRUE	0.246827835652844	0.984139731526375	6280	32	0.0411412647090315	64.3244424460655	81.0977599600197	0	15
20220419 095435	-1	binary	custom	TRUE	TRUE	FALSE	-100	295873	-1	0	31	25	TRUE	0.278015145655871	0.914833786484919	4259	43	0.0339776318982504	20.7680528010574	14.6491255236989	10450000	16
