fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220425 132248	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.149270350914565	0.564846783019602	1790	554	0.0314332307083532	11017000	1
20220425 132312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.0483134712397587	0.649928708318621	2244	681	0.0210548950970406	13049000	2
20220425 132349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.0776458654238377	0.408918152498081	658	138	0.0178704912124279	12034000	3
20220425 132604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.169664147019503	0.481609219573438	1774	520	0.0408006420029172	9042000	4
20220425 132817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.150249879573938	0.742848681984469	5892	209	0.0310259637961281	11853000	5
20220425 132833	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.112278850419563	0.512893431913108	4609	462	0.0149802663766119	13143000	6
20220425 132846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.189094990562531	0.293768114252016	1507	629	0.0318247425302009	10825000	7
20220425 132905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	0.0742824002219131	0.32218365278095	6405	316	0.0254320719327855	12294000	8
20220425 133032	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	527	TRUE	0.0155447965902276	0.710493802865967	3176	386	0.0208577673974408	13346000	9
20220425 133045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.0885516423082445	0.676193727804348	5136	771	0.0430499811385137	9264000	10
20220425 133056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.241014542790712	0.452610790217295	4293	142	0.0207585057646308	12867000	11
20220425 133107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.203357198518701	0.619741822760552	3739	588	0.0352039933893442	11298000	12
20220425 133120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.16717605051212	0.399337805202231	2058	934	0.0485642889567923	7629000	13
20220425 133131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.281970498388866	0.983656130116433	1723	880	0.0281110565677712	10516000	14
20220425 133234	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.0320578058387619	0.955026392806321	561	500	0.0138746831313862	12956000	15
20220425 133257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.134702783242683	0.41390350417234	7439	686	0.0371908919512255	10382000	16
20220425 133354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.109306788909249	0.559239233648404	173	826	0.0100376893649809	11259000	17
20220425 133406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.270705026671174	0.804656797703356	7793	793	0.0473386753175873	7621000	18
20220425 133418	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.24703082818503	0.596402097418904	1169	65	0.0376797932816165	8822000	19
20220425 133449	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	171	TRUE	0.0524556646180572	0.244582766303793	2550	521	0.0229591484244641	12840000	20
20220425 133457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.170570562972338	0.865019503096119	6105	96	0.0168622610440555	12837000	21
20220425 133504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.219269871444558	0.788481236957014	5554	986	0.0116065772885728	12104000	22
20220425 133513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.289065353922429	0.202726986752823	6865	253	0.0416604536105297	9272000	23
20220425 133531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0671273101527477	0.901459988476708	3328	324	0.044395053217401	8324000	24
20220425 133543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.112628985383948	0.890357738317264	4019	502	0.0189975787089916	12794000	25
20220425 133716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	555	TRUE	0.0105484135100029	0.620910633446026	2752	238	0.0151970587481071	13726000	26
20220425 133834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.0101547405213057	0.777469625781918	3353	249	0.0118833030633672	13125000	27
20220425 134045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	589	TRUE	0.0100408218475965	0.44245742922613	2001	288	0.0167907400302473	13665000	28
20220425 134231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	495	TRUE	0.0105019474558327	0.571336946491576	2695	95	0.0169530397517611	13930000	29
20220425 134330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	385	TRUE	0.0103081575777856	0.675767443378265	918	27	0.0158688146027602	13214000	30
20220425 134525	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	705	TRUE	0.0100993430417431	0.318596403207662	3703	99	0.0172531538514233	13706000	31
20220425 134735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	529	TRUE	0.0100305094812224	0.56424448932606	2955	145	0.0179347314585593	13764000	32
20220425 134801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.0557861607139651	0.428409897312297	2816	53	0.0159470335664816	13553000	33
20220425 134915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	432	TRUE	0.0100199018270849	0.63129344862079	4012	68	0.0167898987383343	13555000	34
20220425 135121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1003	TRUE	0.0100129345505603	0.202655087112905	5961	676	0.0159867735435893	13307000	35
20220425 135302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	517	TRUE	0.0101183394801504	0.603821428716604	2687	531	0.0162413790366517	13946000	36
20220425 135426	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	495	TRUE	0.0100311394009431	0.796141542811298	2445	475	0.0167537190308913	13606000	37
20220425 135720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	926	TRUE	0.0100162591985965	0.385966888192767	3433	630	0.016548238503018	13646000	38
