Feature	Gain	Cover	Frequency
ctrx_quarter	0.163674045344245	0.0306410928341252	0.0278728606356968
mpasivos_margen	0.084870293183878	0.0229636891118031	0.0304924903946909
cpayroll_trx	0.0838282572555651	0.0234257285256867	0.00778903248340901
mpayroll	0.0509198505160847	0.0430836038922247	0.0169752008382815
mtarjeta_visa_consumo	0.0445423846636446	0.0170629861996382	0.0183374083129584
mcaja_ahorro	0.0389841156230715	0.0160563730954061	0.0238910234020258
mcuentas_saldo	0.0366193913425011	0.0286858284208362	0.0342996856444289
mactivos_margen	0.0322128111281514	0.0281583363311083	0.0265805099545931
Visa_msaldototal	0.0303185524343392	0.0118669706577618	0.0151239958085924
mprestamos_personales	0.0264619955753432	0.0243263315241338	0.0103737338456165
mrentabilidad_annual	0.023801295607913	0.0175665563220855	0.0296891372685994
ctarjeta_visa_trx	0.0203190853562687	0.0138622441750069	0.0169402724414949
Visa_msaldopesos	0.0179590812301167	0.0220855276004776	0.0192804750261963
cliente_edad	0.0166463719230734	0.0255451243529496	0.0333566189311911
Master_fechaalta	0.0162567809269083	0.0324227846569392	0.0376877401327279
mcuenta_corriente	0.0136537583343078	0.0133778692006123	0.0201187565490744
Visa_fechaalta	0.0118902598219476	0.0133265433960481	0.0250087320991966
chomebanking_trx	0.0118331275486037	0.0151418376321644	0.0216206776108977
Master_Fvencimiento	0.0113120731560295	0.0180413605156552	0.0250436604959832
mrentabilidad	0.0109310530388982	0.0125954217285126	0.0172196996157876
mcomisiones_otras	0.00987772801541906	0.0127796168887469	0.0166608452672022
Visa_mpagominimo	0.00909262526853125	0.0125837099839563	0.0169053440447083
Visa_Fvencimiento	0.00886401731292167	0.0116014064137803	0.0207125392944464
Master_mfinanciacion_limite	0.00877816168730314	0.00926106138476375	0.0178134823611596
numero_de_cliente	0.00870257320614655	0.00961880670395562	0.0185819070904645
cliente_antiguedad	0.00857938520373375	0.0109140760533001	0.0162766329025498
Visa_mpagospesos	0.0074954002025942	0.0101176001593585	0.0175340551868669
mcomisiones	0.00731417951987789	0.00872572574106304	0.013971358714635
ccomisiones_otras	0.0069972206476564	0.0184595724828163	0.0171149144254279
mcaja_ahorro_dolares	0.00692317908389151	0.0228471287155932	0.0226685295144953
thomebanking	0.00673583351279399	0.00549493669866247	0.00544882989870765
cproductos	0.00660709011503449	0.00958930676597565	0.0108278030038421
Visa_mconsumospesos	0.00648781186017642	0.00901833865663362	0.0149493538246594
cprestamos_personales	0.006259794138116	0.00643009046512643	0.00268948655256724
