modelo	gan
A	9736666.66666667
A	7183333.33333333
A	11596666.6666667
A	10240000
A	9720000
A	8356666.66666667
A	8120000
A	10966666.6666667
A	8913333.33333333
A	10690000
A	10360000
A	11643333.3333333
A	9710000
A	10376666.6666667
A	11140000
A	6326666.66666667
A	10180000
A	8836666.66666667
A	9790000
A	9390000
A	11196666.6666667
A	9973333.33333333
A	9623333.33333333
A	11380000
A	11250000
A	10543333.3333333
A	6590000
A	8296666.66666667
A	8710000
A	10983333.3333333
A	9370000
A	11513333.3333333
A	8780000
A	5460000
A	8073333.33333333
A	10140000
A	9853333.33333333
A	9600000
A	10696666.6666667
A	10546666.6666667
A	10786666.6666667
A	10733333.3333333
A	7723333.33333333
A	10430000
A	10196666.6666667
A	9743333.33333333
A	8646666.66666667
A	6743333.33333333
A	10880000
A	8666666.66666667
A	10310000
A	11096666.6666667
A	9420000
A	9130000
A	9993333.33333333
A	7396666.66666667
A	10026666.6666667
A	10490000
A	10060000
A	9730000
A	8853333.33333333
A	8016666.66666667
A	10803333.3333333
A	8993333.33333333
A	11476666.6666667
A	11570000
A	9096666.66666667
A	8440000
A	9393333.33333333
A	9560000
A	8743333.33333333
A	11760000
A	8343333.33333333
A	9926666.66666667
A	8140000
A	11540000
A	10843333.3333333
A	10316666.6666667
A	9423333.33333333
A	9170000
A	11526666.6666667
A	12283333.3333333
A	10326666.6666667
A	11370000
A	11313333.3333333
A	10600000
A	9673333.33333333
A	9183333.33333333
A	10796666.6666667
A	11153333.3333333
A	10910000
A	8963333.33333333
A	12780000
A	11433333.3333333
A	11376666.6666667
A	10093333.3333333
A	10083333.3333333
A	9186666.66666667
A	8623333.33333333
A	10733333.3333333
A	7936666.66666667
A	8120000
A	9570000
A	8306666.66666667
A	10210000
A	6773333.33333333
A	8260000
A	11713333.3333333
A	11696666.6666667
A	11816666.6666667
A	10296666.6666667
A	9373333.33333333
A	10536666.6666667
A	8193333.33333333
A	10703333.3333333
A	10623333.3333333
A	12616666.6666667
A	9933333.33333333
A	8570000
A	9020000
A	10580000
A	10240000
A	12753333.3333333
A	10800000
A	12156666.6666667
A	11160000
A	9126666.66666667
A	10463333.3333333
A	10410000
A	9976666.66666667
A	11250000
A	9796666.66666667
A	10516666.6666667
A	10210000
A	10733333.3333333
A	12516666.6666667
A	9756666.66666667
A	10750000
A	7710000
A	8846666.66666667
A	10486666.6666667
A	10583333.3333333
A	10183333.3333333
A	10296666.6666667
A	10876666.6666667
A	8843333.33333333
A	12003333.3333333
A	11076666.6666667
A	10983333.3333333
A	10436666.6666667
A	11343333.3333333
A	10190000
A	9993333.33333333
A	10446666.6666667
A	8390000
A	11623333.3333333
A	9273333.33333333
A	10923333.3333333
A	10266666.6666667
A	9423333.33333333
A	8263333.33333333
A	8926666.66666667
A	11360000
A	8196666.66666667
A	11250000
A	12140000
A	9920000
A	8390000
A	10306666.6666667
A	11283333.3333333
A	11460000
A	10953333.3333333
A	9706666.66666667
A	11006666.6666667
A	13106666.6666667
A	10100000
A	12543333.3333333
A	8263333.33333333
A	10963333.3333333
A	8830000
A	11973333.3333333
A	7720000
A	8943333.33333333
A	9400000
A	9173333.33333333
A	9186666.66666667
A	12356666.6666667
A	10626666.6666667
A	11210000
A	9793333.33333333
A	7933333.33333333
A	8616666.66666667
A	9213333.33333333
A	10806666.6666667
A	10133333.3333333
A	11203333.3333333
A	9243333.33333333
A	10616666.6666667
A	11163333.3333333
A	9600000
A	9480000
A	11506666.6666667
A	11016666.6666667
A	9230000
A	7326666.66666667
A	8666666.66666667
A	8666666.66666667
A	10966666.6666667
A	10103333.3333333
A	9356666.66666667
A	10476666.6666667
A	11073333.3333333
A	8600000
A	9480000
A	10400000
A	11113333.3333333
A	9350000
A	10116666.6666667
A	9070000
A	10773333.3333333
A	10546666.6666667
A	11810000
A	9703333.33333333
A	10106666.6666667
A	8923333.33333333
A	9573333.33333333
A	10666666.6666667
A	10843333.3333333
A	8753333.33333333
A	10096666.6666667
A	9370000
A	12153333.3333333
A	8900000
A	8116666.66666667
A	9043333.33333333
A	6406666.66666667
A	8806666.66666667
A	8683333.33333333
A	12740000
A	11550000
A	10206666.6666667
A	9046666.66666667
A	11120000
A	13350000
A	9183333.33333333
A	11070000
A	9823333.33333333
A	9156666.66666667
A	10563333.3333333
A	11023333.3333333
A	10803333.3333333
A	10813333.3333333
A	9590000
A	9156666.66666667
A	7560000
A	10256666.6666667
A	13156666.6666667
A	7766666.66666667
A	8883333.33333333
A	10770000
A	10943333.3333333
A	9503333.33333333
A	12850000
A	9336666.66666667
A	10463333.3333333
A	8803333.33333333
A	10673333.3333333
A	10403333.3333333
A	8026666.66666667
A	9900000
A	8090000
A	10716666.6666667
A	8713333.33333333
A	8613333.33333333
A	9980000
A	9160000
A	7560000
A	9323333.33333333
A	8536666.66666667
A	8576666.66666667
A	11350000
A	10393333.3333333
A	10563333.3333333
A	8650000
A	10800000
A	7526666.66666667
A	9600000
A	10073333.3333333
A	11780000
A	8216666.66666667
A	10983333.3333333
A	12346666.6666667
A	8326666.66666667
A	8620000
A	10233333.3333333
A	10506666.6666667
A	8966666.66666667
A	8953333.33333333
A	9910000
A	10106666.6666667
A	8403333.33333333
A	8570000
A	8576666.66666667
A	7770000
A	12573333.3333333
A	8210000
A	10930000
A	10560000
A	8703333.33333333
A	8383333.33333333
A	9280000
A	8840000
A	9486666.66666667
A	12580000
A	11490000
A	8343333.33333333
A	8156666.66666667
A	9816666.66666667
A	10153333.3333333
A	10253333.3333333
A	10483333.3333333
A	7933333.33333333
A	10156666.6666667
A	10380000
A	10680000
A	11080000
A	9963333.33333333
A	11196666.6666667
A	9843333.33333333
A	7783333.33333333
A	9323333.33333333
A	10340000
A	10650000
A	11646666.6666667
A	8536666.66666667
A	10336666.6666667
A	10380000
A	10623333.3333333
A	9276666.66666667
A	9796666.66666667
A	10160000
A	8996666.66666667
A	9310000
A	10210000
A	11636666.6666667
A	12036666.6666667
A	10143333.3333333
A	10353333.3333333
A	10813333.3333333
A	10106666.6666667
A	11616666.6666667
A	10440000
A	12773333.3333333
A	8230000
A	7926666.66666667
A	8626666.66666667
A	8563333.33333333
A	10133333.3333333
A	7270000
A	9510000
A	10040000
A	10756666.6666667
A	11130000
A	8630000
A	9373333.33333333
A	7706666.66666667
A	9850000
A	9843333.33333333
A	9126666.66666667
A	10430000
A	11140000
A	11496666.6666667
A	9953333.33333333
A	9780000
A	6946666.66666667
A	10206666.6666667
A	11716666.6666667
A	11726666.6666667
A	8536666.66666667
A	10303333.3333333
A	8416666.66666667
A	9740000
A	8896666.66666667
A	9256666.66666667
A	9120000
A	10523333.3333333
A	10060000
A	9183333.33333333
A	10776666.6666667
A	10890000
A	9486666.66666667
A	11443333.3333333
A	9356666.66666667
A	8976666.66666667
A	9010000
A	10636666.6666667
A	8666666.66666667
A	9210000
A	8986666.66666667
A	10213333.3333333
A	5980000
A	9796666.66666667
A	9573333.33333333
A	11310000
A	7446666.66666667
A	8063333.33333333
A	11133333.3333333
A	8783333.33333333
A	9430000
A	12280000
A	11806666.6666667
A	8093333.33333333
A	9846666.66666667
A	8713333.33333333
A	10883333.3333333
A	11256666.6666667
A	12126666.6666667
A	11266666.6666667
A	8803333.33333333
A	12116666.6666667
A	7153333.33333333
A	11013333.3333333
A	12353333.3333333
A	8526666.66666667
A	10523333.3333333
A	10620000
A	11463333.3333333
A	8476666.66666667
A	10946666.6666667
A	10336666.6666667
A	7726666.66666667
A	8986666.66666667
A	8906666.66666667
A	10763333.3333333
A	9270000
A	13453333.3333333
A	6560000
A	12256666.6666667
A	9456666.66666667
A	10006666.6666667
A	8483333.33333333
A	8566666.66666667
A	10726666.6666667
A	9356666.66666667
A	8280000
A	11613333.3333333
A	10106666.6666667
A	10140000
A	11303333.3333333
A	7250000
A	9423333.33333333
A	11143333.3333333
A	8923333.33333333
A	7693333.33333333
A	10700000
A	10533333.3333333
A	11756666.6666667
A	8940000
A	9226666.66666667
A	10286666.6666667
A	10223333.3333333
A	12143333.3333333
A	9906666.66666667
A	10563333.3333333
A	8830000
A	8190000
A	10076666.6666667
A	10216666.6666667
A	9716666.66666667
A	9813333.33333333
A	10523333.3333333
A	8636666.66666667
A	9700000
A	10230000
A	12473333.3333333
A	9806666.66666667
A	12010000
A	9953333.33333333
A	9626666.66666667
A	11240000
A	9963333.33333333
A	10680000
A	11076666.6666667
A	7036666.66666667
A	10050000
A	9786666.66666667
A	11196666.6666667
A	10013333.3333333
A	10153333.3333333
A	10233333.3333333
A	10160000
A	9203333.33333333
A	8936666.66666667
A	10096666.6666667
A	11746666.6666667
A	9710000
A	13576666.6666667
A	9696666.66666667
A	9500000
A	11223333.3333333
A	10586666.6666667
A	10380000
A	11390000
A	10030000
A	8166666.66666667
A	9206666.66666667
A	10653333.3333333
A	9946666.66666667
A	9330000
A	6856666.66666667
A	11220000
A	10320000
A	8353333.33333333
A	9896666.66666667
A	9960000
A	9180000
A	11550000
A	9463333.33333333
A	9890000
A	10373333.3333333
A	9583333.33333333
A	10753333.3333333
A	12593333.3333333
A	6870000
A	8830000
A	10066666.6666667
A	9550000
A	12160000
A	8553333.33333333
A	10940000
A	9226666.66666667
A	8370000
A	8573333.33333333
A	11053333.3333333
A	6976666.66666667
A	10053333.3333333
A	7553333.33333333
A	11186666.6666667
A	9443333.33333333
A	10226666.6666667
A	9e+06
A	10316666.6666667
A	9716666.66666667
A	9730000
A	10460000
A	8836666.66666667
A	11503333.3333333
A	10503333.3333333
A	9916666.66666667
A	8360000
A	9720000
A	9803333.33333333
A	10480000
A	9013333.33333333
A	9716666.66666667
A	8520000
A	10566666.6666667
A	11606666.6666667
A	9816666.66666667
A	9176666.66666667
A	11686666.6666667
A	11210000
A	10263333.3333333
A	8533333.33333333
A	11696666.6666667
A	11050000
A	11110000
A	9853333.33333333
A	7290000
A	12573333.3333333
A	11746666.6666667
A	8536666.66666667
A	10583333.3333333
A	9216666.66666667
A	10566666.6666667
A	8370000
A	9673333.33333333
A	11850000
A	9126666.66666667
A	9703333.33333333
A	8330000
A	9370000
A	8250000
A	9226666.66666667
A	10046666.6666667
A	9903333.33333333
A	10200000
A	12403333.3333333
A	10146666.6666667
A	10130000
A	8750000
A	8963333.33333333
A	9920000
A	10460000
A	8403333.33333333
A	7626666.66666667
A	10236666.6666667
A	9950000
A	10896666.6666667
A	8363333.33333333
A	10423333.3333333
A	9690000
A	11183333.3333333
A	9820000
A	10970000
A	10353333.3333333
A	8830000
A	9786666.66666667
A	8200000
A	10640000
A	10423333.3333333
A	5206666.66666667
A	10740000
A	11043333.3333333
A	11830000
A	8383333.33333333
A	6780000
A	9243333.33333333
A	10713333.3333333
A	9040000
A	11606666.6666667
A	10413333.3333333
A	13563333.3333333
A	8073333.33333333
A	7973333.33333333
A	10443333.3333333
A	12660000
A	11163333.3333333
A	10406666.6666667
A	10950000
A	10643333.3333333
A	8873333.33333333
A	8390000
A	9963333.33333333
A	9e+06
A	7926666.66666667
A	11540000
A	11256666.6666667
A	10386666.6666667
A	8166666.66666667
A	9413333.33333333
A	14063333.3333333
A	9726666.66666667
A	9533333.33333333
A	12740000
A	9203333.33333333
A	9543333.33333333
A	8653333.33333333
A	10496666.6666667
A	10203333.3333333
A	8850000
A	10270000
A	10846666.6666667
A	9510000
A	10463333.3333333
A	12126666.6666667
A	10303333.3333333
A	8216666.66666667
A	11440000
A	11260000
A	8490000
A	7936666.66666667
A	8893333.33333333
A	10506666.6666667
A	11150000
A	9076666.66666667
A	7673333.33333333
A	9726666.66666667
A	10833333.3333333
A	8623333.33333333
A	9496666.66666667
A	9533333.33333333
A	8696666.66666667
A	9766666.66666667
A	9163333.33333333
A	10250000
A	8026666.66666667
A	10896666.6666667
A	10203333.3333333
A	9506666.66666667
A	11796666.6666667
A	9483333.33333333
A	6716666.66666667
A	8630000
A	7883333.33333333
A	9010000
A	8180000
A	7950000
A	8853333.33333333
A	9693333.33333333
A	9286666.66666667
A	8433333.33333333
A	9623333.33333333
A	10403333.3333333
A	7336666.66666667
A	10980000
A	9376666.66666667
A	10653333.3333333
A	9413333.33333333
A	7666666.66666667
A	12833333.3333333
A	14210000
A	9843333.33333333
A	8716666.66666667
A	8950000
A	9180000
A	12863333.3333333
A	9076666.66666667
A	7703333.33333333
A	9183333.33333333
A	11896666.6666667
A	9376666.66666667
A	9230000
A	10276666.6666667
A	9826666.66666667
A	9516666.66666667
A	8523333.33333333
A	6113333.33333333
A	10816666.6666667
A	10506666.6666667
A	10840000
A	9913333.33333333
A	12246666.6666667
A	11573333.3333333
A	10890000
A	8660000
A	11546666.6666667
A	9100000
A	10636666.6666667
A	10410000
A	11193333.3333333
A	9146666.66666667
A	14013333.3333333
A	9083333.33333333
A	10550000
A	9723333.33333333
A	9356666.66666667
A	9426666.66666667
A	10870000
A	9220000
A	9603333.33333333
A	9170000
A	10260000
A	11790000
A	10810000
A	9216666.66666667
A	10286666.6666667
A	8703333.33333333
A	8786666.66666667
A	10090000
A	11016666.6666667
A	10343333.3333333
A	9613333.33333333
A	8846666.66666667
A	10186666.6666667
A	9210000
A	7746666.66666667
A	9643333.33333333
A	10530000
A	8983333.33333333
A	9203333.33333333
A	12016666.6666667
A	12850000
A	11270000
A	7900000
A	11163333.3333333
A	11416666.6666667
A	7400000
A	8783333.33333333
A	8053333.33333333
A	11013333.3333333
A	9016666.66666667
A	11253333.3333333
A	11406666.6666667
A	11360000
A	8166666.66666667
A	10183333.3333333
A	9730000
A	8403333.33333333
A	11820000
A	9616666.66666667
A	7670000
A	8683333.33333333
A	8140000
A	11596666.6666667
A	11766666.6666667
A	8966666.66666667
A	9506666.66666667
A	8796666.66666667
A	10760000
A	7416666.66666667
A	12440000
A	9266666.66666667
A	8893333.33333333
A	11146666.6666667
A	9986666.66666667
A	8060000
A	10720000
A	10496666.6666667
A	9190000
A	9960000
A	11120000
A	9926666.66666667
A	9493333.33333333
A	9366666.66666667
A	6330000
A	6536666.66666667
A	9220000
A	8376666.66666667
A	8560000
A	10066666.6666667
A	10186666.6666667
A	9476666.66666667
A	10090000
A	11993333.3333333
A	9120000
A	5846666.66666667
A	10236666.6666667
A	9940000
A	10020000
A	9193333.33333333
A	7943333.33333333
A	9116666.66666667
A	9360000
A	9956666.66666667
A	9083333.33333333
A	8576666.66666667
A	9770000
A	10846666.6666667
A	11746666.6666667
A	9813333.33333333
A	9270000
A	10973333.3333333
A	11010000
A	8086666.66666667
A	8223333.33333333
A	9326666.66666667
A	9070000
A	10670000
A	9830000
A	9296666.66666667
A	9106666.66666667
A	10703333.3333333
A	10570000
A	9870000
A	11456666.6666667
A	10466666.6666667
A	7923333.33333333
A	11460000
A	8496666.66666667
A	10436666.6666667
A	8670000
A	11330000
A	11490000
A	9596666.66666667
A	9486666.66666667
A	10806666.6666667
A	10420000
A	5366666.66666667
A	9236666.66666667
A	11226666.6666667
A	11166666.6666667
A	10763333.3333333
A	11243333.3333333
A	10316666.6666667
A	10433333.3333333
A	8816666.66666667
A	11840000
A	10210000
A	10833333.3333333
A	8050000
A	9946666.66666667
A	8136666.66666667
A	9823333.33333333
A	12866666.6666667
A	10296666.6666667
A	7666666.66666667
A	9520000
A	9456666.66666667
A	11173333.3333333
A	10953333.3333333
A	9116666.66666667
A	9116666.66666667
A	8363333.33333333
A	8e+06
A	10533333.3333333
A	10850000
A	9306666.66666667
A	10443333.3333333
A	10040000
A	11260000
A	10340000
A	10703333.3333333
A	9093333.33333333
A	9613333.33333333
A	10936666.6666667
A	7800000
A	10676666.6666667
A	8976666.66666667
A	9796666.66666667
A	11673333.3333333
A	10776666.6666667
A	7583333.33333333
A	10186666.6666667
A	9650000
A	10420000
A	9786666.66666667
A	10453333.3333333
A	9010000
A	11150000
A	10833333.3333333
A	10943333.3333333
A	9960000
A	10103333.3333333
A	9780000
A	9476666.66666667
A	10950000
A	7156666.66666667
A	9466666.66666667
A	9376666.66666667
A	11493333.3333333
A	10980000
A	11373333.3333333
A	9090000
A	10646666.6666667
A	9673333.33333333
A	7593333.33333333
A	9793333.33333333
A	9700000
A	9616666.66666667
A	8960000
A	10350000
A	10163333.3333333
A	9450000
A	10190000
A	8610000
A	12096666.6666667
A	11243333.3333333
A	9936666.66666667
A	11116666.6666667
A	10033333.3333333
A	10976666.6666667
A	10853333.3333333
A	10293333.3333333
A	10123333.3333333
A	10720000
A	8993333.33333333
A	8623333.33333333
A	8233333.33333333
A	9443333.33333333
A	9860000
A	9883333.33333333
A	10236666.6666667
A	8776666.66666667
A	8900000
A	10066666.6666667
A	8826666.66666667
A	11293333.3333333
A	8450000
A	8170000
A	10563333.3333333
A	12466666.6666667
A	7433333.33333333
A	8506666.66666667
A	11026666.6666667
A	10656666.6666667
A	11330000
A	11963333.3333333
A	9710000
A	8113333.33333333
A	9803333.33333333
A	9213333.33333333
A	11320000
A	8316666.66666667
A	9730000
A	10043333.3333333
A	10453333.3333333
A	9913333.33333333
A	9153333.33333333
A	8646666.66666667
A	9100000
A	8773333.33333333
A	10626666.6666667
A	7263333.33333333
A	9456666.66666667
A	9030000
A	7800000
A	9866666.66666667
A	8140000
A	12013333.3333333
A	7620000
A	10830000
A	11560000
A	10733333.3333333
A	11010000
A	9306666.66666667
A	8270000
A	9350000
A	10896666.6666667
A	10470000
B	9140000
B	8656666.66666667
B	10346666.6666667
B	10103333.3333333
B	11863333.3333333
B	9406666.66666667
B	7713333.33333333
B	11716666.6666667
B	9343333.33333333
B	10756666.6666667
B	10810000
B	8456666.66666667
B	7476666.66666667
B	10010000
B	12293333.3333333
B	6246666.66666667
B	10140000
B	6660000
B	9423333.33333333
B	7736666.66666667
B	11313333.3333333
B	8143333.33333333
B	7430000
B	10730000
B	9063333.33333333
B	11346666.6666667
B	5696666.66666667
B	7516666.66666667
B	6573333.33333333
B	9183333.33333333
B	10600000
B	10176666.6666667
B	6833333.33333333
B	7220000
B	4813333.33333333
B	8886666.66666667
B	10723333.3333333
B	9246666.66666667
B	11386666.6666667
B	9376666.66666667
B	10986666.6666667
B	5396666.66666667
B	9753333.33333333
B	7680000
B	10743333.3333333
B	9063333.33333333
B	7246666.66666667
B	6573333.33333333
B	8113333.33333333
B	8783333.33333333
B	8560000
B	11990000
B	8563333.33333333
B	7006666.66666667
B	11400000
