numero_de_cliente	foto_mes	active_quarter	cliente_vip	internet	cliente_edad	cliente_antiguedad	mrentabilidad	mrentabilidad_annual	mcomisiones	mactivos_margen	mpasivos_margen	cproductos	tpaquete1	tpaquete2	tpaquete7	tpaquete9	tcuentas	ccuenta_corriente	mcuenta_corriente_adicional	mcuenta_corriente	ccaja_ahorro	mcaja_ahorro	mcaja_ahorro_adicional	mcaja_ahorro_dolares	mdescubierto_preacordado	mcuentas_saldo	ctarjeta_debito	ctarjeta_debito_trx	mautoservicio	ctarjeta_visa	ctarjeta_visa_trx	mtarjeta_visa_consumo	ctarjeta_master	ctarjeta_master_trx	mtarjeta_master_consumo	cprestamos_personales	mprestamos_personales	cprestamos_prendarios	mprestamos_prendarios	cprestamos_hipotecarios	mprestamos_hipotecarios	cplazo_fijo	mplazo_fijo_dolares	mplazo_fijo_pesos	cinversion1	minversion1_pesos	minversion1_dolares	cinversion2	minversion2	cseguro_vida	cseguro_auto	cseguro_vivienda	cseguro_accidentes_personales	ccaja_seguridad	cpayroll_trx	mpayroll	mpayroll2	cpayroll2_trx	ccuenta_debitos_automaticos	mcuenta_debitos_automaticos	ctarjeta_visa_debitos_automaticos	mtarjeta_visa_debitos_automaticos	ctarjeta_master_debitos_automaticos	mttarjeta_master_debitos_automaticos	cpagodeservicios	mpagodeservicios	cpagomiscuentas	mpagomiscuentas	ccajeros_propios_descuentos	mcajeros_propios_descuentos	ctarjeta_visa_descuentos	mtarjeta_visa_descuentos	ctarjeta_master_descuentos	mtarjeta_master_descuentos	ccomisiones_mantenimiento	mcomisiones_mantenimiento	ccomisiones_otras	mcomisiones_otras	cforex	cforex_buy	mforex_buy	cforex_sell	mforex_sell	ctransferencias_recibidas	mtransferencias_recibidas	ctransferencias_emitidas	mtransferencias_emitidas	cextraccion_autoservicio	mextraccion_autoservicio	ccheques_depositados	mcheques_depositados	ccheques_emitidos	mcheques_emitidos	ccheques_depositados_rechazados	mcheques_depositados_rechazados	ccheques_emitidos_rechazados	mcheques_emitidos_rechazados	tcallcenter	ccallcenter_trx	thomebanking	chomebanking_trx	ccajas_trx	ccajas_consultas	ccajas_depositos	ccajas_extracciones	ccajas_otras	catm_trx	matm	catm_trx_other	matm_other	ctrx_quarter	tmobile_app	cmobile_app_trx	Master_delinquency	Master_status	Master_mfinanciacion_limite	Master_Fvencimiento	Master_Finiciomora	Master_msaldototal	Master_msaldopesos	Master_msaldodolares	Master_mconsumospesos	Master_mconsumosdolares	Master_mlimitecompra	Master_madelantopesos	Master_madelantodolares	Master_fultimo_cierre	Master_mpagado	Master_mpagospesos	Master_mpagosdolares	Master_fechaalta	Master_mconsumototal	Master_cconsumos	Master_cadelantosefectivo	Master_mpagominimo	Visa_delinquency	Visa_status	Visa_mfinanciacion_limite	Visa_Fvencimiento	Visa_Finiciomora	Visa_msaldototal	Visa_msaldopesos	Visa_msaldodolares	Visa_mconsumospesos	Visa_mconsumosdolares	Visa_mlimitecompra	Visa_madelantopesos	Visa_madelantodolares	Visa_fultimo_cierre	Visa_mpagado	Visa_mpagospesos	Visa_mpagosdolares	Visa_fechaalta	Visa_mconsumototal	Visa_cconsumos	Visa_cadelantosefectivo	Visa_mpagominimo	clase_ternaria	cluster2
4580855	202005	1	0	1	46	281	559.97	10010.14	370.69	84.68	77.1	7	1	0	0	0	1	1	0	-2375.29	2	1835.95	0	332672.26	1.17	345108.39	2	5	3248.92	1	9	12446.47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29.36	0	0	0	0	0	0	0	0	0	0	0	0	1	961.62	10	370.69	1	0	0	1	4.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	76	0	0	0	0	0	0	0	0	0	77	0	0	0	0	176904	-60	53	0	0	0	351	0	196560	0	0	11	0	-795.6	0	1048	351	1	0	0	0	0	176904	-1460	51	10648.65	12458.92	0	8261.77	0	196560	0	0	25	19478.92	-5382	0	5878	8261.77	5	0	561.6	BAJA+2	1
4605422	202005	1	0	1	70	286	3518.43	26889.3	2926.8	345.58	160.09	9	1	0	0	0	1	1	0	-22603.44	2	0	0	3.2	1.17	-24937.91	3	0	0	1	22	28136.49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	13	17694.13	0	0	0	0	0	0	0	0	0	0	0	0	1	1923.24	10	2926.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	63	0	0	0	0	202176	-912	53	0.33	0.33	0	351	0	224640	0	0	4	0	-795.6	0	1288	351	1	0	0	0	0	202176	-912	51	22315.78	27313.15	-1203.69	22402.32	16.33	224640	0	0	4	30786.18	-30786.18	0	5317	22402.32	18	0	479.7	BAJA+2	1
4607461	202004	1	0	1	60	269	1943.61	23507.18	1296.81	488.14	64.68	7	1	0	0	0	1	1	0	-17769.19	2	0	0	0	1.17	-19588.37	2	0	0	1	0	0	1	1	490.23	3	21852.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1361.45	8	1296.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	18	0	0	0	0	252720	-1430	53	490.23	490.23	0	490.23	0	280800	0	0	1	0	0	0	1501	490.23	1	0	11.7	0	0	303264	-2101	51	-3476	-4066.92	0	984.14	0	336960	0	0	1	0	-3032.985	0	5572	984.14	2	0	0	BAJA+2	2
4613352	202009	0	0	0	68	21	2479.01	16706.34	1726.11	643.5	0.01	7	1	0	0	0	1	1	0	-21125.76	2	0	0	0	1.17	-23641.1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1923.24	2	1726.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202176	-1217	53	0	0	0	351	0	224640	0	0	0	0	-795.6	0	637	351	1	0	0	0	0	202176	-1583	51	0	0	0	0	0	224640	0	0	0	0	0	0	637	0	0	0	0	BAJA+2	2
4617524	202009	1	0	1	73	209	1903.83	25556.29	2553.09	-701.13	146.21	5	1	0	0	0	1	1	0	906.99	2	847.47	0	0	1.17	1650.88	1	0	0	1	3	22871.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16365.26	0	0	0	0	0	0	0	0	0	0	0	0	2	2006.3	6	2553.09	0	0	0	0	0	2	2340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	18	0	0	0	0	126360	-943	53	0	0	0	351	0	140400	0	0	4	0	-795.6	0	1532.5	351	1	0	0	0	0	176904	-637	51	19548.24	22871.44	0	16365.26	0	196560	0	0	7	0	-19470.67	0	8525	16365.26	2	0	1298.7	BAJA+2	1
4632622	202004	1	0	1	55	269	2542.94	44236.17	1467.91	-163.07	1081.9	6	1	0	0	0	1	1	0	0	2	74196.52	0	1110565.59	1.17	1172286.97	2	7	14505.27	1	7	13932.83	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9508.88	0	0	0	0	1	9403.36	0	0	0	0	0	0	1	1361.45	8	1467.91	0	0	0	0	0	1	93600	1	29250	0	0	0	0	0	0	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	83	1	0	0	0	50544	-760	53	0	0	0	351	0	56160	0	0	1	0	-795.6	0	3263	351	1	0	0	0	0	88452	-1674	51	12055.73	14105.2	0	9481.57	9.3	98280	0	0	1	0	-15953.64	0	8200	9481.57	7	0	748.8	BAJA+2	1
4642732	202005	1	0	1	52	312	2455.97	80378.98	2444.92	12.47	-3.03	10	1	0	0	0	1	1	0	-416.75	2	0	0	0.8	1.17	-3193.14	1	0	0	2	1	386.04	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	386.04	0	0	0	0	0	0	0	0	0	0	0	0	1	2619.44	6	2444.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	991070.43	-1063	53	0	0	0	351	0	1101189.37	0	0	4	0	-795.6	0	5150	351	1	0	0	0	0	991070.43	-1063	51	333.82	390.56	0	386.04	0	1101189.37	0	0	4	0	-700.83	0	5150	386.04	1	0	11.7	BAJA+2	3
4665386	202009	1	0	1	59	192	2231.89	25868.12	1838.65	162	174.1	7	1	0	0	0	1	1	0	-5599.18	3	0	11700	0	1.17	4393.63	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1361.45	10	1838.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	31	0	0	0	0	63180	-515	53	0	0	0	0	0	70200	0	0	0	0	-301.55	0	5701	0	0	0	0	0	0	63180	-1976	51	0	0	0	0	0	70200	0	0	0	0	-277.45	0	5701	0	0	0	0	BAJA+2	2
4667343	202010	1	0	0	54	32	196.13	6790.35	674.75	-547.61	138.54	7	1	0	0	0	1	1	0	-496.75	2	3636.98	0	546.2	1.17	3017.17	2	0	0	1	3	13332.53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11185.57	1	1855.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	674.75	0	0	0	0	0	3	11115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	38	0	1	0	0	724734.62	-880	53	0	0	0	0	0	805260.69	0	0	3	0	-3148.57	0	965	0	0	0	0	0	0	724734.62	-1246	51	11395.33	13332.53	0	13332.53	0	805260.69	0	0	3	0	-9268.74	0	965	13332.53	3	0	526.5	BAJA+2	1
4674057	202002	1	0	1	65	45	2756.74	20213.24	2012.2	600.04	36.32	7	1	0	0	0	1	1	0	-8250.06	2	0	0	0	1.17	-9643.79	1	0	0	1	11	5814.36	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1020.24	0	0	0	0	0	0	0	0	0	0	0	0	1	1361.45	10	2012.2	0	0	0	0	0	1	682.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	39	0	0	1	0	101088	-1582	19	11893.59	11893.59	0	0	0	112320	0	0	3	0	0	0	1361	0	0	0	3802.5	1	0	88452	-1947	55	47231.43	55260.77	0	1020.24	0	98280	0	0	3	0	0	0	1361	1020.24	2	0	13431.6	BAJA+2	2
